,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
16439,1322312,http://www.imdb.com/title/tt1322312,Going the Distance (2010),6.3,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ODUyMjk5N15BMl5BanBnXkFtZTcwMjAxOTE2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
33060,5065822,http://www.imdb.com/title/tt5065822,Ronaldo (2015),6.4,Documentary|Biography|Sport,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzMyMTM1MjQxNF5BMl5BanBnXkFtZTgwMjY4NTE5NjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
39109,89564,http://www.imdb.com/title/tt89564,'Master Harold'... and the Boys (1985),7.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2QzZTVlNmUtMzRhYS00MWJjLTk1YTctNGE0YjE1MWJhYzc2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX182_CR0,0,182,268_AL_.jpg"
24407,1065073,http://www.imdb.com/title/tt1065073,Boyhood (2014),7.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
37870,2931334,http://www.imdb.com/title/tt2931334,Ludwig van (1970),6.7,Documentary,
253,110216,http://www.imdb.com/title/tt110216,Junior (1994),4.5,Comedy|Romance|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
36301,209280,http://www.imdb.com/title/tt209280,Empty Days (1999),6.8,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTk2MTYwOV5BMl5BanBnXkFtZTcwMjk0NzUxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
18964,195256,http://www.imdb.com/title/tt195256,Shen nu (1934),7.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NTI5MDgwOV5BMl5BanBnXkFtZTcwOTk1MDE0MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
32269,3815248,http://www.imdb.com/title/tt3815248,California City (2014),5.7,Documentary|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjc2NDQtY2UzMi00YmE4LThhZmMtMGU1ZDJiMjFhZGJmXkEyXkFqcGdeQXVyMzE2ODIxNA@@._V1_UY268_CR4,0,182,268_AL_.jpg"
23205,982913,http://www.imdb.com/title/tt982913,The Pirates of Penzance (2006),8.6,Adventure|Musical,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjk2OTExMDQ3M15BMl5BanBnXkFtZTcwMTM4MTA1Mg@@._V1_UY268_CR1,0,182,268_AL_.jpg"
15186,40607,http://www.imdb.com/title/tt40607,Moonrise (1948),7.2,Crime|Drama|Film-Noir,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEyMTU1NjQyODdeQTJeQWpwZ15BbWU4MDM5Mzc5NTAx._V1_UX182_CR0,0,182,268_AL_.jpg"
13159,395119,http://www.imdb.com/title/tt395119,Alatriste (2006),6.1,Adventure|Drama|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTc1MDQ2NV5BMl5BanBnXkFtZTcwMTQ3OTI2MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
2132,23395,http://www.imdb.com/title/tt23395,East of Shanghai (1931),5.9,Comedy|Romance|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNDU2Mzk2NV5BMl5BanBnXkFtZTgwMDMyMDU4MTE@._V1_UY268_CR3,0,182,268_AL_.jpg"
4259,86508,http://www.imdb.com/title/tt86508,Uncommon Valor (1983),6.4,Action|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE4ZjUxZTgtZTY1NS00MDU1LWIwNWYtOTg3M2M4YWM5ZDMyL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
35151,2319760,http://www.imdb.com/title/tt2319760,Girlfriend Boyfriend (2012),7.0,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjZhOWI0YTktZTFmZi00MDQwLTk0NzctYWEwNTJlMWQ4NTI3XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_UY268_CR3,0,182,268_AL_.jpg"
9063,105682,http://www.imdb.com/title/tt105682,Un Coeur en Hiver (1992),7.7,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzE3MzQyODAxOV5BMl5BanBnXkFtZTcwMzA3MzgzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
11705,55858,http://www.imdb.com/title/tt55858,La commare secca (1962),7.0,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNjY5NTA0MF5BMl5BanBnXkFtZTcwMTAxODcyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
14572,282171,http://www.imdb.com/title/tt282171,Slap Shot 2: Breaking the Ice (2002),4.4,Comedy|Sport,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTg1NjYwMDcyM15BMl5BanBnXkFtZTcwNjE1NDMyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
21424,134790,http://www.imdb.com/title/tt134790,Simpaticul domn R (1970),5.1,Action|Crime,
3293,39748,http://www.imdb.com/title/tt39748,Railroaded! (1947),6.7,Crime|Drama|Film-Noir,"https://images-na.ssl-images-amazon.com/images/M/MV5BODA3MTcwMDA2Nl5BMl5BanBnXkFtZTcwMTIyOTIyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
22588,1043694,http://www.imdb.com/title/tt1043694,Are You Scared 2 (2009),2.3,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzgwMzM4MDMwNF5BMl5BanBnXkFtZTgwMjg5MTg2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
6328,108330,http://www.imdb.com/title/tt108330,This Boy's Life (1993),7.3,Biography|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BODA5ZTBjNjktZTc0OS00Yjc5LWJiNzUtYmRhYjVkYTI4MWExL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
8967,95904,http://www.imdb.com/title/tt95904,Prison (1987),5.9,Crime|Drama|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MDRiZjktNGExOS00ZTg0LWE3MzMtMDZhOWJmZDlmYzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
21642,110625,http://www.imdb.com/title/tt110625,Nan quan wang (1984),6.4,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NDY4ODU4Nl5BMl5BanBnXkFtZTcwNjI1MzgxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
4906,36323,http://www.imdb.com/title/tt36323,Sahara (1943),7.6,Action|Drama|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMDk1NzE4MV5BMl5BanBnXkFtZTgwMzA3Mzc0MjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
29503,200173,http://www.imdb.com/title/tt200173,Stjernerne og vandbÌ_rerne (1974),7.2,Documentary|Sport,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjcyODA4YjAtMjM4OC00NWE3LTlmOTgtMzgyNDVmMjYwYWFjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY268_CR5,0,182,268_AL_.jpg"
12474,485851,http://www.imdb.com/title/tt485851,The Air I Breathe (2007),6.9,Crime|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMjgwNjkxOV5BMl5BanBnXkFtZTcwNDU2MzU1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
38784,28074,http://www.imdb.com/title/tt28074,The Pace That Kills (1935),3.8,Crime|Drama|Film-Noir,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzcwODcwM15BMl5BanBnXkFtZTgwMDE1OTg5MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
21502,1460739,http://www.imdb.com/title/tt1460739,Better This World (2011),7.3,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjk1NjQ5NTA0MF5BMl5BanBnXkFtZTcwNDQ4MDk4Ng@@._V1_UY268_CR0,0,182,268_AL_.jpg"
5775,283530,http://www.imdb.com/title/tt283530,The Emperor's Club (2002),6.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmZiMTY3OTctNDlkMC00Njk0LWE0NTAtODViNzk3OTFhMzI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
11748,376650,http://www.imdb.com/title/tt376650,Hipnos (2004),5.4,Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyNTgzNDM1N15BMl5BanBnXkFtZTcwMjE1MzMzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
5638,121261,http://www.imdb.com/title/tt121261,Faces of Death III (1985),2.8,Documentary|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NDIxMjk5MV5BMl5BanBnXkFtZTcwMjQyODcxMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
34092,2226301,http://www.imdb.com/title/tt2226301,Big Love (2012),5.5,Drama|Romance|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDJjMmQ0NjUtNTU4NS00NjU0LTk1NzctMmQ5ODcxODdmNTJiXkEyXkFqcGdeQXVyMjMwMDkwOTY@._V1_UY268_CR2,0,182,268_AL_.jpg"
28154,78445,http://www.imdb.com/title/tt78445,Un uomo in ginocchio (1979),7.2,Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2U5NDgzM2YtMjlmMi00YjI2LTliYTItZWRjZDk0MDBkZGFjXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY268_CR4,0,182,268_AL_.jpg"
980,115438,http://www.imdb.com/title/tt115438,2 Days in the Valley (1996),6.5,Comedy|Crime|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1ODM4NzQ1NV5BMl5BanBnXkFtZTcwNDQyMDU1MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
20088,1212450,http://www.imdb.com/title/tt1212450,Lawless (2012),7.3,Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
12516,472160,http://www.imdb.com/title/tt472160,Penelope (2006),6.8,Comedy|Fantasy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjM1M2Y3NWUtOWM1MS00YjUzLThiNmEtNjdiMTZmMzg3NTY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL_.jpg"
39435,115625,http://www.imdb.com/title/tt115625,The Barber of Rio (1996),6.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDNlN2RiNWYtMWEwNC00Nzk4LTg5NTEtMDViOTVkZDU0NGY5XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY268_CR2,0,182,268_AL_.jpg"
5803,262396,http://www.imdb.com/title/tt262396,Empire (2002),6.0,Crime|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGIzZThiMDAtNDhhZC00NDdlLThkYjctMDc2YTljZWVjZWUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
39526,68622,http://www.imdb.com/title/tt68622,Gargoyles (1972),6.4,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NzI1MTU1Ml5BMl5BanBnXkFtZTcwMTg2MjMyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
30795,2628316,http://www.imdb.com/title/tt2628316,Green Street 3: Never Back Down (2013),5.4,Action|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Mzc2MzE1Ml5BMl5BanBnXkFtZTgwMjI1OTE2MzE@._V1_UY268_CR1,0,182,268_AL_.jpg"
22018,121701,http://www.imdb.com/title/tt121701,Topralli (1966),3.8,Comedy|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTk3NmE1ZmYtMWMzYi00MGYwLWFmY2YtNGFhMjQxOTUxZWI5XkEyXkFqcGdeQXVyMTIxMzMzMzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
20763,262414,http://www.imdb.com/title/tt262414,Federico Fellini - un autoritratto ritrovato (2000),6.7,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMzIwMzA5M15BMl5BanBnXkFtZTcwMDQ4MDA1MQ@@._V1_UY268_CR109,0,182,268_AL_.jpg"
33285,3646944,http://www.imdb.com/title/tt3646944,Attack on Titan Crimson Bow and Arrow (2014),7.6,Animation|Action|Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BYWE5MDY5NzQtNDE2Ny00ZmVjLWE3ZDktYWNjZTgxZjI0MWRlXkEyXkFqcGdeQXVyNTczMTU0MTQ@._V1_UY268_CR3,0,182,268_AL_.jpg"
2584,53183,http://www.imdb.com/title/tt53183,Pork Chop Hill (1959),7.1,War|Drama|Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDcwMDc3ZmItNjMzNi00NTYyLWJjZjktZjU4NWRlZTJlOTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
29615,1935193,http://www.imdb.com/title/tt1935193,Doug Stanhope: Oslo - Burning the Bridge to Nowhere (2011),7.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDQ1ZDNkYjItNWQ0ZC00YzNlLWIyMmEtNWI4MmJmOWZkNmQzXkEyXkFqcGdeQXVyMTM3NjI1Mjg@._V1_UY268_CR87,0,182,268_AL_.jpg"
658,113720,http://www.imdb.com/title/tt113720,Lust och fí_gring stor (1995),7.0,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDY0ZDRmYTItYjZiYi00MTAyLTkxNWMtZTQxMWIyNzcyMzk2XkEyXkFqcGdeQXVyMTMwOTMzNzU@._V1_UY268_CR1,0,182,268_AL_.jpg"
8856,83480,http://www.imdb.com/title/tt83480,Smiley's People,8.7,Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NTk4ODUyM15BMl5BanBnXkFtZTYwNDE3Njc5._V1_UX182_CR0,0,182,268_AL_.jpg"
12449,484877,http://www.imdb.com/title/tt484877,Wedding Daze (2006),5.7,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNDUzMTgyN15BMl5BanBnXkFtZTcwNzkwNTc3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
4975,220514,http://www.imdb.com/title/tt220514,"Hey, Happy! (2001)",3.9,Comedy|Fantasy|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNDc5NDQ3N15BMl5BanBnXkFtZTcwMDM5MzQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
11725,45943,http://www.imdb.com/title/tt45943,Julius Caesar (1953),7.4,Biography|Drama|History,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDBiMjhkZTUtNTYxMC00NTVjLTg0ZGEtYTU4YTA0ZGJjZTUyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
28460,44718,http://www.imdb.com/title/tt44718,Murder on Monday (1952),7.2,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4ODk3MTg0MF5BMl5BanBnXkFtZTcwMjg3NTYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
7479,187859,http://www.imdb.com/title/tt187859,Genghis Blues (1999),8.0,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzAwNTI4NTczNV5BMl5BanBnXkFtZTcwNDE3NDQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
35443,1542391,http://www.imdb.com/title/tt1542391,Beats of Freedom - Zew wolnosci (2010),7.1,Documentary|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDAzNGRjYjQtYmY5Zi00YmZiLWFhYzEtZjY1OTA2MTA3OWFmXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY268_CR0,0,182,268_AL_.jpg"
9947,374583,http://www.imdb.com/title/tt374583,Look at Me (2004),6.9,Comedy|Drama|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjcwODQ0Ml5BMl5BanBnXkFtZTcwMDUxNzgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
31087,79135,http://www.imdb.com/title/tt79135,Fascination (1979),6.2,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzNDk2ODcxNl5BMl5BanBnXkFtZTcwNDE4NzAyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
3879,111512,http://www.imdb.com/title/tt111512,The Legend of Drunken Master (1994),7.6,Action|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmRiZTZiMWEtZGVlNS00YzU1LTkxZjYtODNiMDEyYTIxYjA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
12118,427528,http://www.imdb.com/title/tt427528,Mercenary for Justice (2006),4.2,Action|Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNDk5NjI4OV5BMl5BanBnXkFtZTcwMTM5NzA0MQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
26570,120135,http://www.imdb.com/title/tt120135,Since You've Been Gone (1998),5.5,Comedy|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NzU4NzU2OV5BMl5BanBnXkFtZTcwODQwMTEyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
34384,106029,http://www.imdb.com/title/tt106029,Hotel Room,6.6,Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzAwNTlkNjYtNDM1Zi00NGMxLWEwMTMtNGVhN2U4YWY4MTYwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
27829,125316,http://www.imdb.com/title/tt125316,The Kiss of Her Flesh (1968),5.7,Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0NjIwODgxMTleQTJeQWpwZ15BbWU3MDY2MDU4MTE@._V1_UY268_CR3,0,182,268_AL_.jpg"
2190,113658,http://www.imdb.com/title/tt113658,Lilian's Story (1996),7.0,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMDYzNTY5OF5BMl5BanBnXkFtZTcwODYyNTgyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
30570,430239,http://www.imdb.com/title/tt430239,It Waits (2005),3.7,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NDIyNDM4N15BMl5BanBnXkFtZTcwNDIzNjA0MQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
23930,792975,http://www.imdb.com/title/tt792975,L'invitÌ© (2007),5.5,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzhmN2M3ZmUtNWMzNy00OGM2LWExMjgtZmY4NWQ1NmEyZmVjL2ltYWdlXkEyXkFqcGdeQXVyMjIyMDk1Nzg@._V1_UY268_CR9,0,182,268_AL_.jpg"
